,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,9.716564115594062,212.42336624542048,9.716564115594062,-57.57663375457946,0.06,0.0,0.33,8.0,-57.57663375457946,0.06,0.0,0.33
1,1.0,10.117909368948512,252.0623012418935,10.117909368948512,-17.937698758106535,0.06,0.0,0.33,8.0,-17.937698758106535,0.06,0.0,0.33
2,2.0,9.534731251602505,236.6718288948512,9.534731251602505,-33.32817110514884,0.06,0.0,0.33,8.0,-33.32817110514884,0.06,0.0,0.33
3,3.0,10.392891412167955,261.0478933487247,10.392891412167955,-8.952106651275244,0.06,0.0,0.33,8.0,-8.952106651275244,0.06,0.0,0.33
4,4.0,9.938886678186135,246.58604473498875,9.938886678186135,-23.413955265011282,0.06,0.0,0.33,8.0,-23.413955265011282,0.06,0.0,0.33
5,5.0,10.653742718476657,248.98862895605478,10.653742718476657,-21.011371043945246,0.06,0.0,0.33,8.0,-21.011371043945246,0.06,0.0,0.33
6,6.0,9.982485411261544,247.04775352325507,9.982485411261544,-22.952246476744904,0.06,0.0,0.33,8.0,-22.952246476744904,0.06,0.0,0.33
7,7.0,10.662052586385576,249.92389109664444,10.662052586385576,-20.07610890335559,0.06,0.0,0.33,8.0,-20.07610890335559,0.06,0.0,0.33
8,8.0,9.65675902714439,252.36146589524134,9.65675902714439,-17.63853410475872,0.06,0.0,0.33,8.0,-17.63853410475872,0.06,0.0,0.33
9,9.0,10.359325345189381,239.2066244169385,10.359325345189381,-30.79337558306156,0.06,0.0,0.33,8.0,-30.79337558306156,0.06,0.0,0.33
10,10.0,9.049820976901099,254.81264682713464,9.049820976901099,-15.187353172865414,0.06,0.0,0.33,8.0,-15.187353172865414,0.06,0.0,0.33
11,11.0,10.039169606793124,270.51081463032864,10.039169606793124,0.5108146303286389,0.06,0.0,0.33,8.0,0.5108146303286389,0.06,0.0,0.33
12,12.0,9.611411330350318,237.40302825506066,9.611411330350318,-32.59697174493931,0.06,0.0,0.33,8.0,-32.59697174493931,0.06,0.0,0.33
13,13.0,9.460507537602847,260.327794888598,9.460507537602847,-9.672205111402036,0.06,0.0,0.33,8.0,-9.672205111402036,0.06,0.0,0.33
