,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,13.227325928691409,275.32147201170307,13.227325928691409,5.321472011703065,0.06,7.5,0.44,8.0,5.321472011703065,0.06,0.0,0.33
1,1.0,11.985604004470533,297.26270912420944,11.985604004470533,27.262709124209437,0.06,7.5,0.44,8.0,27.262709124209437,0.06,0.0,0.33
2,2.0,11.786851877724688,267.6601821110873,11.786851877724688,-2.3398178889126484,0.06,7.5,0.44,8.0,-2.3398178889126484,0.06,0.0,0.33
3,3.0,12.968130144489502,275.40923227434166,12.968130144489502,5.409232274341662,0.06,7.5,0.44,8.0,5.409232274341662,0.06,0.0,0.33
4,4.0,11.979461926641491,262.71889997170354,11.979461926641491,-7.281100028296464,0.06,7.5,0.44,8.0,-7.281100028296464,0.06,0.0,0.33
5,5.0,11.516437285319109,267.11603815020817,11.516437285319109,-2.883961849791831,0.06,7.5,0.44,8.0,-2.883961849791831,0.06,0.0,0.33
6,6.0,13.172652211677129,265.5637858521793,13.172652211677129,-4.436214147820692,0.06,7.5,0.44,8.0,-4.436214147820692,0.06,0.0,0.33
7,7.0,10.989087232636594,267.854091226626,10.989087232636594,-2.1459087733740034,0.06,7.5,0.44,8.0,-2.1459087733740034,0.06,0.0,0.33
8,8.0,12.097394439106512,271.918406485026,12.097394439106512,1.9184064850260256,0.06,7.5,0.44,8.0,1.9184064850260256,0.06,0.0,0.33
9,9.0,11.642191448761507,288.78715660768034,11.642191448761507,18.787156607680345,0.06,7.5,0.44,8.0,18.787156607680345,0.06,0.0,0.33
10,10.0,12.556649778655874,268.99711500328084,12.556649778655874,-1.0028849967191036,0.06,7.5,0.44,8.0,-1.0028849967191036,0.06,0.0,0.33
11,11.0,12.184746086285529,283.3457918967425,12.184746086285529,13.345791896742526,0.06,7.5,0.44,8.0,13.345791896742526,0.06,0.0,0.33
12,12.0,11.9347102846098,256.3764633871593,11.9347102846098,-13.62353661284078,0.06,7.5,0.44,8.0,-13.62353661284078,0.06,0.0,0.33
13,13.0,12.417478736131052,288.41156213228476,12.417478736131052,18.411562132284757,0.06,7.5,0.44,8.0,18.411562132284757,0.06,0.0,0.33
14,14.0,11.591777892410425,257.78351455875145,11.591777892410425,-12.216485441248551,0.06,7.5,0.44,8.0,-12.216485441248551,0.06,0.0,0.33
15,15.0,11.753341205614314,281.6002197043101,11.753341205614314,11.60021970431012,0.06,7.5,0.44,8.0,11.60021970431012,0.06,0.0,0.33
16,16.0,12.085954923005765,267.6331845005802,12.085954923005765,-2.366815499419772,0.06,7.5,0.44,8.0,-2.366815499419772,0.06,0.0,0.33
17,17.0,12.082675553727553,256.68004665376725,12.082675553727553,-13.31995334623275,0.06,7.5,0.44,8.0,-13.31995334623275,0.06,0.0,0.33
18,18.0,11.93618458228105,275.1046054649325,11.93618458228105,5.10460546493249,0.06,7.5,0.44,8.0,5.10460546493249,0.06,0.0,0.33
19,19.0,11.485280044870656,275.3120672013076,11.485280044870656,5.312067201307627,0.06,7.5,0.44,8.0,5.312067201307627,0.06,0.0,0.33
20,20.0,12.06699430820633,267.9863480249384,12.06699430820633,-2.0136519750615207,0.06,7.5,0.44,8.0,-2.0136519750615207,0.06,0.0,0.33
21,21.0,12.05061472178824,282.84826712182627,12.05061472178824,12.848267121826268,0.06,7.5,0.44,8.0,12.848267121826268,0.06,0.0,0.33
22,22.0,12.009010582179327,253.37043694359363,12.009010582179327,-16.62956305640637,0.06,7.5,0.44,8.0,-16.62956305640637,0.06,0.0,0.33
23,23.0,11.257442705206001,240.36085523454753,11.257442705206001,-29.639144765452443,0.06,7.5,0.44,8.0,-29.639144765452443,0.06,0.0,0.33
24,24.0,11.37522805545153,298.9741799438997,11.37522805545153,28.974179943899685,0.06,7.5,0.44,8.0,28.974179943899685,0.06,0.0,0.33
25,25.0,13.152150151524115,251.60452924347783,13.152150151524115,-18.395470756522172,0.06,7.5,0.44,8.0,-18.395470756522172,0.06,0.0,0.33
26,26.0,13.420497950535344,260.05014977405284,13.420497950535344,-9.949850225947102,0.06,7.5,0.44,8.0,-9.949850225947102,0.06,0.0,0.33
27,27.0,11.555885579261586,266.15578952472777,11.555885579261586,-3.8442104752722344,0.06,7.5,0.44,8.0,-3.8442104752722344,0.06,0.0,0.33
28,28.0,12.192480822772273,283.8367021805713,12.192480822772273,13.836702180571308,0.06,7.5,0.44,8.0,13.836702180571308,0.06,0.0,0.33
29,29.0,12.69325788659021,246.11358883378426,12.69325788659021,-23.886411166215794,0.06,7.5,0.44,8.0,-23.886411166215794,0.06,0.0,0.33
30,30.0,11.997928252849338,274.83122044017097,11.997928252849338,4.831220440170966,0.06,7.5,0.44,8.0,4.831220440170966,0.06,0.0,0.33
31,31.0,11.34780367310238,267.4488888165012,11.34780367310238,-2.5511111834987332,0.06,7.5,0.44,8.0,-2.5511111834987332,0.06,0.0,0.33
32,32.0,12.717316138563984,265.35773452373155,12.717316138563984,-4.642265476268449,0.06,7.5,0.44,8.0,-4.642265476268449,0.06,0.0,0.33
