,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,9.761538995812431,264.1157705326796,9.761538995812431,-5.884229467320438,0.06,7.5,0.22,8.0,-5.884229467320438,0.06,0.0,0.44
1,1.0,9.710690343626977,239.4458794754318,9.710690343626977,-30.554120524568134,0.06,7.5,0.22,8.0,-30.554120524568134,0.06,0.0,0.44
2,2.0,9.113359050060684,272.47061696792747,9.113359050060684,2.4706169679274694,0.06,7.5,0.22,8.0,2.4706169679274694,0.06,0.0,0.44
3,3.0,10.228910712292285,233.7796136652669,10.228910712292285,-36.22038633473312,0.06,7.5,0.22,8.0,-36.22038633473312,0.06,0.0,0.44
4,4.0,9.569531236546936,255.18804975525597,9.569531236546936,-14.811950244744025,0.06,7.5,0.22,8.0,-14.811950244744025,0.06,0.0,0.44
5,5.0,9.323645355253829,239.146094625176,9.323645355253829,-30.853905374823967,0.06,7.5,0.22,8.0,-30.853905374823967,0.06,0.0,0.44
6,6.0,9.309927399509904,255.45494224811642,9.309927399509904,-14.545057751883633,0.06,7.5,0.22,8.0,-14.545057751883633,0.06,0.0,0.44
7,7.0,9.885171089008468,240.22750035984384,9.885171089008468,-29.772499640156184,0.06,7.5,0.22,8.0,-29.772499640156184,0.06,0.0,0.44
8,8.0,8.975337506979484,233.56349855580234,8.975337506979484,-36.43650144419769,0.06,7.5,0.22,8.0,-36.43650144419769,0.06,0.0,0.44
9,9.0,10.03098155059231,257.9084851547428,10.03098155059231,-12.09151484525728,0.06,7.5,0.22,8.0,-12.09151484525728,0.06,0.0,0.44
10,10.0,9.4822997324552,241.34367263948639,9.4822997324552,-28.656327360513615,0.06,7.5,0.22,8.0,-28.656327360513615,0.06,0.0,0.44
