,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,7.8294951861973585,262.2416044686483,7.8294951861973585,-7.758395531351653,0.06,15.0,0.44,8.0,-7.758395531351653,0.06,15.0,0.44
1,1.0,8.134138009380253,246.727743744852,8.134138009380253,-23.272256255148022,0.06,15.0,0.44,8.0,-23.272256255148022,0.06,15.0,0.44
2,2.0,7.9161696658833085,267.61643892796155,7.9161696658833085,-2.3835610720384466,0.06,15.0,0.44,8.0,-2.3835610720384466,0.06,15.0,0.44
3,3.0,8.407834423379603,262.7381282677964,8.407834423379603,-7.261871732203645,0.06,15.0,0.44,8.0,-7.261871732203645,0.06,15.0,0.44
4,4.0,7.30390591765096,248.68525002400935,7.30390591765096,-21.314749975990708,0.06,15.0,0.44,8.0,-21.314749975990708,0.06,15.0,0.44
5,5.0,7.744305655131053,245.1112639122243,7.744305655131053,-24.88873608777567,0.06,15.0,0.44,8.0,-24.88873608777567,0.06,15.0,0.44
6,6.0,7.282604648688835,291.4446289890028,7.282604648688835,21.44462898900281,0.06,15.0,0.44,8.0,21.44462898900281,0.06,15.0,0.44
7,7.0,7.992673890468257,254.6423357566269,7.992673890468257,-15.357664243373165,0.06,15.0,0.44,8.0,-15.357664243373165,0.06,15.0,0.44
8,8.0,7.546908399782286,301.46262614651425,7.546908399782286,31.462626146514253,0.06,15.0,0.44,8.0,31.462626146514253,0.06,15.0,0.44
9,9.0,7.818423718434163,262.1015655059434,7.818423718434163,-7.898434494056573,0.06,15.0,0.44,8.0,-7.898434494056573,0.06,15.0,0.44
10,10.0,8.27730888760576,253.87686356173276,8.27730888760576,-16.123136438267238,0.06,15.0,0.44,8.0,-16.123136438267238,0.06,15.0,0.44
11,11.0,7.926376575224938,287.73337308536713,7.926376575224938,17.733373085367134,0.06,15.0,0.44,8.0,17.733373085367134,0.06,15.0,0.44
12,12.0,8.220237178880287,290.82890596240003,8.220237178880287,20.82890596240003,0.06,15.0,0.44,8.0,20.82890596240003,0.06,15.0,0.44
13,13.0,8.122184021936775,302.55899743641925,8.122184021936775,32.55899743641925,0.06,15.0,0.44,8.0,32.55899743641925,0.06,15.0,0.44
14,14.0,7.675820740715908,275.0134907530096,7.675820740715908,5.013490753009592,0.06,15.0,0.44,8.0,5.013490753009592,0.06,15.0,0.44
15,15.0,8.007484580168946,268.82880667209224,8.007484580168946,-1.1711933279077584,0.06,15.0,0.44,8.0,-1.1711933279077584,0.06,15.0,0.44
16,16.0,7.996768335868302,282.90740767670997,7.996768335868302,12.907407676709965,0.06,15.0,0.44,8.0,12.907407676709965,0.06,15.0,0.44
17,17.0,8.346743131715906,262.24029885851314,8.346743131715906,-7.7597011414868575,0.06,15.0,0.44,8.0,-7.7597011414868575,0.06,15.0,0.44
18,18.0,8.56669295623326,273.12146651470874,8.56669295623326,3.121466514708743,0.06,15.0,0.44,8.0,3.121466514708743,0.06,15.0,0.44
19,19.0,7.918555360461956,266.3171849240838,7.918555360461956,-3.68281507591621,0.06,15.0,0.44,8.0,-3.68281507591621,0.06,15.0,0.44
20,20.0,7.844785384012139,275.8284910238601,7.844785384012139,5.828491023860124,0.06,15.0,0.44,8.0,5.828491023860124,0.06,15.0,0.44
21,21.0,7.976308232696719,254.59320128454172,7.976308232696719,-15.406798715458308,0.06,15.0,0.44,8.0,-15.406798715458308,0.06,15.0,0.44
22,22.0,7.462929708528894,265.33086894524996,7.462929708528894,-4.669131054750096,0.06,15.0,0.44,8.0,-4.669131054750096,0.06,15.0,0.44
23,23.0,7.857279734954012,283.0562332398748,7.857279734954012,13.056233239874814,0.06,15.0,0.44,8.0,13.056233239874814,0.06,15.0,0.44
24,24.0,7.730682621579755,266.63198867919203,7.730682621579755,-3.368011320807909,0.06,15.0,0.44,8.0,-3.368011320807909,0.06,15.0,0.44
25,25.0,7.278327360874605,258.71756296565684,7.278327360874605,-11.282437034343161,0.06,15.0,0.44,8.0,-11.282437034343161,0.06,15.0,0.44
26,26.0,7.998812177913541,276.67903669983707,7.998812177913541,6.67903669983707,0.06,15.0,0.44,8.0,6.67903669983707,0.06,15.0,0.44
27,27.0,7.227031058638628,239.78631081411635,7.227031058638628,-30.213689185883595,0.06,15.0,0.44,8.0,-30.213689185883595,0.06,15.0,0.44
28,28.0,8.53699485649349,278.88014304315686,8.53699485649349,8.880143043156863,0.06,15.0,0.44,8.0,8.880143043156863,0.06,15.0,0.44
29,29.0,7.959187441108945,258.40475542764534,7.959187441108945,-11.595244572354659,0.06,15.0,0.44,8.0,-11.595244572354659,0.06,15.0,0.44
30,30.0,7.425205783260547,246.91087757564185,7.425205783260547,-23.089122424358152,0.06,15.0,0.44,8.0,-23.089122424358152,0.06,15.0,0.44
31,31.0,7.245338792278815,301.0145293889891,7.245338792278815,31.014529388989104,0.06,15.0,0.44,8.0,31.014529388989104,0.06,15.0,0.44
32,32.0,8.299772378027779,245.86348833641554,8.299772378027779,-24.13651166358443,0.06,15.0,0.44,8.0,-24.13651166358443,0.06,15.0,0.44
33,33.0,7.461815201340055,295.9732939836863,7.461815201340055,25.97329398368629,0.06,15.0,0.44,8.0,25.97329398368629,0.06,15.0,0.44
34,34.0,7.890754058417,286.3477385914509,7.890754058417,16.347738591450877,0.06,15.0,0.44,8.0,16.347738591450877,0.06,15.0,0.44
35,35.0,8.411408629132657,254.30117330048023,8.411408629132657,-15.698826699519714,0.06,15.0,0.44,8.0,-15.698826699519714,0.06,15.0,0.44
36,36.0,8.271738942122889,274.57309881225814,8.271738942122889,4.573098812258138,0.06,15.0,0.44,8.0,4.573098812258138,0.06,15.0,0.44
37,37.0,7.6497667186241,244.66197697246884,7.6497667186241,-25.338023027531108,0.06,15.0,0.44,8.0,-25.338023027531108,0.06,15.0,0.44
