,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,11.689278862604212,234.02636726846578,11.689278862604212,-35.97363273153428,0.06,0.0,0.33,8.0,-35.97363273153428,0.06,15.0,0.22
1,1.0,12.675005751098432,273.77568638982075,12.675005751098432,3.7756863898207484,0.06,0.0,0.33,8.0,3.7756863898207484,0.06,15.0,0.22
2,2.0,12.149885071748235,228.30971704920265,12.149885071748235,-41.69028295079738,0.06,0.0,0.33,8.0,-41.69028295079738,0.06,15.0,0.22
3,3.0,12.834368628262315,247.88595833397645,12.834368628262315,-22.11404166602358,0.06,0.0,0.33,8.0,-22.11404166602358,0.06,15.0,0.22
4,4.0,11.4125888409073,242.20172314609766,11.4125888409073,-27.79827685390228,0.06,0.0,0.33,8.0,-27.79827685390228,0.06,15.0,0.22
5,5.0,12.194838693707892,253.66431310404826,12.194838693707892,-16.335686895951767,0.06,0.0,0.33,8.0,-16.335686895951767,0.06,15.0,0.22
6,6.0,11.41911500658515,265.32271038194114,11.41911500658515,-4.677289618058921,0.06,0.0,0.33,8.0,-4.677289618058921,0.06,15.0,0.22
7,7.0,11.75137667146648,245.66817009985454,11.75137667146648,-24.33182990014552,0.06,0.0,0.33,8.0,-24.33182990014552,0.06,15.0,0.22
8,8.0,11.457427587031003,236.16786893022265,11.457427587031003,-33.83213106977735,0.06,0.0,0.33,8.0,-33.83213106977735,0.06,15.0,0.22
9,9.0,12.1291630794392,237.35335321780383,12.1291630794392,-32.64664678219617,0.06,0.0,0.33,8.0,-32.64664678219617,0.06,15.0,0.22
10,10.0,12.686186524784887,257.9927417724059,12.686186524784887,-12.007258227594093,0.06,0.0,0.33,8.0,-12.007258227594093,0.06,15.0,0.22
11,11.0,11.23903394363079,256.34268028228416,11.23903394363079,-13.657319717715836,0.06,0.0,0.33,8.0,-13.657319717715836,0.06,15.0,0.22
12,12.0,11.333057819784036,257.7085475505775,11.333057819784036,-12.291452449422422,0.06,0.0,0.33,8.0,-12.291452449422422,0.06,15.0,0.22
13,13.0,12.048629157986664,255.30448132191873,12.048629157986664,-14.695518678081271,0.06,0.0,0.33,8.0,-14.695518678081271,0.06,15.0,0.22
