,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,11.468899346851007,285.08284102830874,11.468899346851007,15.082841028308735,0.06,0.0,0.44,8.0,15.082841028308735,0.06,7.5,0.33
1,1.0,12.314036036615729,287.09326533732036,12.314036036615729,17.09326533732036,0.06,0.0,0.44,8.0,17.09326533732036,0.06,7.5,0.33
2,2.0,12.419855741919799,292.34962400038745,12.419855741919799,22.34962400038745,0.06,0.0,0.44,8.0,22.34962400038745,0.06,7.5,0.33
3,3.0,11.456568953745714,248.5961957812124,11.456568953745714,-21.403804218787627,0.06,0.0,0.44,8.0,-21.403804218787627,0.06,7.5,0.33
4,4.0,11.524082056370998,287.1636055921301,11.524082056370998,17.163605592130125,0.06,0.0,0.44,8.0,17.163605592130125,0.06,7.5,0.33
5,5.0,10.976292321905143,291.78506703050436,10.976292321905143,21.785067030504365,0.06,0.0,0.44,8.0,21.785067030504365,0.06,7.5,0.33
6,6.0,11.544233401686629,309.8191340666389,11.544233401686629,39.819134066638924,0.06,0.0,0.44,8.0,39.819134066638924,0.06,7.5,0.33
7,7.0,13.014322973613318,252.21733609836923,13.014322973613318,-17.782663901630713,0.06,0.0,0.44,8.0,-17.782663901630713,0.06,7.5,0.33
8,8.0,12.478686281028372,287.7497576107258,12.478686281028372,17.749757610725794,0.06,0.0,0.44,8.0,17.749757610725794,0.06,7.5,0.33
9,9.0,13.06285327524887,281.661284805183,13.06285327524887,11.661284805183016,0.06,0.0,0.44,8.0,11.661284805183016,0.06,7.5,0.33
10,10.0,11.23024128524641,293.9117199785478,11.23024128524641,23.911719978547808,0.06,0.0,0.44,8.0,23.911719978547808,0.06,7.5,0.33
11,11.0,11.980130279523852,303.9418862844595,11.980130279523852,33.941886284459486,0.06,0.0,0.44,8.0,33.941886284459486,0.06,7.5,0.33
12,12.0,11.974722400074622,300.0602913347655,11.974722400074622,30.06029133476551,0.06,0.0,0.44,8.0,30.06029133476551,0.06,7.5,0.33
13,13.0,11.988687101482794,275.7891168405219,11.988687101482794,5.789116840521899,0.06,0.0,0.44,8.0,5.789116840521899,0.06,7.5,0.33
14,14.0,12.393607139909212,301.05482738984006,12.393607139909212,31.054827389840057,0.06,0.0,0.44,8.0,31.054827389840057,0.06,7.5,0.33
15,15.0,11.985397317161041,296.1438491081337,11.985397317161041,26.14384910813368,0.06,0.0,0.44,8.0,26.14384910813368,0.06,7.5,0.33
16,16.0,10.017604716677798,283.2052125791529,10.017604716677798,13.205212579152885,0.06,0.0,0.44,8.0,13.205212579152885,0.06,7.5,0.33
17,17.0,11.655678130336272,278.44142820827165,11.655678130336272,8.441428208271645,0.06,0.0,0.44,8.0,8.441428208271645,0.06,7.5,0.33
18,18.0,11.8221420979589,282.0128030852926,11.8221420979589,12.012803085292603,0.06,0.0,0.44,8.0,12.012803085292603,0.06,7.5,0.33
19,19.0,12.68847769604772,304.71143123770906,12.68847769604772,34.711431237709064,0.06,0.0,0.44,8.0,34.711431237709064,0.06,7.5,0.33
20,20.0,12.189120556745793,288.82939531253265,12.189120556745793,18.829395312532654,0.06,0.0,0.44,8.0,18.829395312532654,0.06,7.5,0.33
21,21.0,12.121275975161073,284.72808971007595,12.121275975161073,14.728089710075949,0.06,0.0,0.44,8.0,14.728089710075949,0.06,7.5,0.33
22,22.0,12.235388884136405,281.9253475464721,12.235388884136405,11.925347546472096,0.06,0.0,0.44,8.0,11.925347546472096,0.06,7.5,0.33
