,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,7.902695838270151,259.1618982375264,7.902695838270151,-10.83810176247357,0.06,7.5,0.33,8.0,-10.83810176247357,0.06,15.0,0.44
1,1.0,7.428877155120311,250.48080932633545,7.428877155120311,-19.519190673664525,0.06,7.5,0.33,8.0,-19.519190673664525,0.06,15.0,0.44
2,2.0,8.06675591236067,250.7514321627112,8.06675591236067,-19.24856783728876,0.06,7.5,0.33,8.0,-19.24856783728876,0.06,15.0,0.44
3,3.0,7.772340063740964,251.29814227253897,7.772340063740964,-18.70185772746106,0.06,7.5,0.33,8.0,-18.70185772746106,0.06,15.0,0.44
4,4.0,8.076636308797905,253.78523656381435,8.076636308797905,-16.21476343618565,0.06,7.5,0.33,8.0,-16.21476343618565,0.06,15.0,0.44
5,5.0,8.010493572119888,254.34603061845246,8.010493572119888,-15.65396938154754,0.06,7.5,0.33,8.0,-15.65396938154754,0.06,15.0,0.44
6,6.0,8.485509777016128,241.94037704411562,8.485509777016128,-28.05962295588438,0.06,7.5,0.33,8.0,-28.05962295588438,0.06,15.0,0.44
7,7.0,7.173898508831734,264.25434878217516,7.173898508831734,-5.745651217824843,0.06,7.5,0.33,8.0,-5.745651217824843,0.06,15.0,0.44
8,8.0,7.65033745858722,243.79012525245145,7.65033745858722,-26.20987474754861,0.06,7.5,0.33,8.0,-26.20987474754861,0.06,15.0,0.44
9,9.0,7.8590671193199695,263.28221540575277,7.8590671193199695,-6.717784594247178,0.06,7.5,0.33,8.0,-6.717784594247178,0.06,15.0,0.44
10,10.0,8.214050496408156,255.0533734457029,8.214050496408156,-14.946626554297154,0.06,7.5,0.33,8.0,-14.946626554297154,0.06,15.0,0.44
11,11.0,7.364621674110736,233.45849192066837,7.364621674110736,-36.54150807933161,0.06,7.5,0.33,8.0,-36.54150807933161,0.06,15.0,0.44
12,12.0,7.8757387908160155,255.1528252613281,7.8757387908160155,-14.847174738671924,0.06,7.5,0.33,8.0,-14.847174738671924,0.06,15.0,0.44
13,13.0,8.158516582573831,234.56515484723738,8.158516582573831,-35.43484515276259,0.06,7.5,0.33,8.0,-35.43484515276259,0.06,15.0,0.44
14,14.0,8.055765756347027,241.0799070923652,8.055765756347027,-28.920092907634853,0.06,7.5,0.33,8.0,-28.920092907634853,0.06,15.0,0.44
15,15.0,7.808739838129241,241.9309459250175,7.808739838129241,-28.069054074982432,0.06,7.5,0.33,8.0,-28.069054074982432,0.06,15.0,0.44
16,16.0,9.106739334705697,271.5240456145997,9.106739334705697,1.524045614599686,0.06,7.5,0.33,8.0,1.524045614599686,0.06,15.0,0.44
17,17.0,7.8736538316708895,242.95560674008266,7.8736538316708895,-27.044393259917342,0.06,7.5,0.33,8.0,-27.044393259917342,0.06,15.0,0.44
18,18.0,8.402678578084126,250.2908838763538,8.402678578084126,-19.709116123646254,0.06,7.5,0.33,8.0,-19.709116123646254,0.06,15.0,0.44
19,19.0,7.084109950319483,243.61639504926575,7.084109950319483,-26.383604950734252,0.06,7.5,0.33,8.0,-26.383604950734252,0.06,15.0,0.44
20,20.0,8.051758173119108,260.50575342817575,8.051758173119108,-9.494246571824306,0.06,7.5,0.33,8.0,-9.494246571824306,0.06,15.0,0.44
21,21.0,7.843647430961423,262.37599481947046,7.843647430961423,-7.624005180529593,0.06,7.5,0.33,8.0,-7.624005180529593,0.06,15.0,0.44
22,22.0,8.611499822859125,239.6242501869698,8.611499822859125,-30.37574981303021,0.06,7.5,0.33,8.0,-30.37574981303021,0.06,15.0,0.44
23,23.0,7.900134758620474,267.03630078575816,7.900134758620474,-2.963699214241842,0.06,7.5,0.33,8.0,-2.963699214241842,0.06,15.0,0.44
24,24.0,7.719285956359072,256.6697154955385,7.719285956359072,-13.330284504461474,0.06,7.5,0.33,8.0,-13.330284504461474,0.06,15.0,0.44
25,25.0,8.111607697858249,274.23058533303265,8.111607697858249,4.23058533303265,0.06,7.5,0.33,8.0,4.23058533303265,0.06,15.0,0.44
26,26.0,7.407529562447246,256.2181751764704,7.407529562447246,-13.781824823529632,0.06,7.5,0.33,8.0,-13.781824823529632,0.06,15.0,0.44
27,27.0,7.896995653098003,245.49772350211612,7.896995653098003,-24.50227649788394,0.06,7.5,0.33,8.0,-24.50227649788394,0.06,15.0,0.44
28,28.0,8.198594515510855,254.76768233641522,8.198594515510855,-15.232317663584809,0.06,7.5,0.33,8.0,-15.232317663584809,0.06,15.0,0.44
29,29.0,7.872167662115159,249.3194211781792,7.872167662115159,-20.680578821820745,0.06,7.5,0.33,8.0,-20.680578821820745,0.06,15.0,0.44
30,30.0,8.91884646034903,228.92242946434502,8.91884646034903,-41.07757053565501,0.06,7.5,0.33,8.0,-41.07757053565501,0.06,15.0,0.44
31,31.0,8.13870331206991,255.00865944033404,8.13870331206991,-14.991340559666014,0.06,7.5,0.33,8.0,-14.991340559666014,0.06,15.0,0.44
32,32.0,7.942034697256162,262.07564861882116,7.942034697256162,-7.924351381178894,0.06,7.5,0.33,8.0,-7.924351381178894,0.06,15.0,0.44
33,33.0,7.690704228390559,258.98230808620326,7.690704228390559,-11.017691913796739,0.06,7.5,0.33,8.0,-11.017691913796739,0.06,15.0,0.44
34,34.0,7.700766682309875,240.84221461730723,7.700766682309875,-29.157785382692737,0.06,7.5,0.33,8.0,-29.157785382692737,0.06,15.0,0.44
35,35.0,7.401312187299448,254.01412379062813,7.401312187299448,-15.985876209371895,0.06,7.5,0.33,8.0,-15.985876209371895,0.06,15.0,0.44
36,36.0,7.701239956291155,235.30584369999968,7.701239956291155,-34.69415630000026,0.06,7.5,0.33,8.0,-34.69415630000026,0.06,15.0,0.44
37,37.0,8.155811296020326,243.17715666448757,8.155811296020326,-26.822843335512403,0.06,7.5,0.33,8.0,-26.822843335512403,0.06,15.0,0.44
38,38.0,8.162056608456723,270.59226062693085,8.162056608456723,0.5922606269308517,0.06,7.5,0.33,8.0,0.5922606269308517,0.06,15.0,0.44
39,39.0,7.79797862012,254.76093032363153,7.79797862012,-15.239069676368445,0.06,7.5,0.33,8.0,-15.239069676368445,0.06,15.0,0.44
40,40.0,7.575763287815343,259.37865854516036,7.575763287815343,-10.621341454839694,0.06,7.5,0.33,8.0,-10.621341454839694,0.06,15.0,0.44
41,41.0,8.43478195798403,252.3000156291038,8.43478195798403,-17.69998437089623,0.06,7.5,0.33,8.0,-17.69998437089623,0.06,15.0,0.44
42,42.0,7.770767299358886,258.81350742599716,7.770767299358886,-11.186492574002841,0.06,7.5,0.33,8.0,-11.186492574002841,0.06,15.0,0.44
43,43.0,7.373306264633415,257.4240829427626,7.373306264633415,-12.575917057237348,0.06,7.5,0.33,8.0,-12.575917057237348,0.06,15.0,0.44
44,44.0,8.28245349231541,256.71697458182894,8.28245349231541,-13.283025418171064,0.06,7.5,0.33,8.0,-13.283025418171064,0.06,15.0,0.44
45,45.0,8.037581432051667,247.56120509544246,8.037581432051667,-22.43879490455754,0.06,7.5,0.33,8.0,-22.43879490455754,0.06,15.0,0.44
46,46.0,7.640216356157083,237.46592109785826,7.640216356157083,-32.5340789021418,0.06,7.5,0.33,8.0,-32.5340789021418,0.06,15.0,0.44
47,47.0,8.100219394033301,253.72064928885572,8.100219394033301,-16.279350711144275,0.06,7.5,0.33,8.0,-16.279350711144275,0.06,15.0,0.44
48,48.0,7.575264175168459,260.87939675074205,7.575264175168459,-9.12060324925801,0.06,7.5,0.33,8.0,-9.12060324925801,0.06,15.0,0.44
49,49.0,8.535609528172989,249.82627961471556,8.535609528172989,-20.17372038528447,0.06,7.5,0.33,8.0,-20.17372038528447,0.06,15.0,0.44
50,50.0,8.180410847151022,249.9779199819786,8.180410847151022,-20.02208001802137,0.06,7.5,0.33,8.0,-20.02208001802137,0.06,15.0,0.44
51,51.0,7.326918511513898,242.4096888150891,7.326918511513898,-27.590311184910888,0.06,7.5,0.33,8.0,-27.590311184910888,0.06,15.0,0.44
52,52.0,8.16304519739721,251.24174328781785,8.16304519739721,-18.758256712182174,0.06,7.5,0.33,8.0,-18.758256712182174,0.06,15.0,0.44
53,53.0,7.8311760265759505,245.74728978009279,7.8311760265759505,-24.252710219907158,0.06,7.5,0.33,8.0,-24.252710219907158,0.06,15.0,0.44
54,54.0,7.6004114296758285,235.964299439219,7.6004114296758285,-34.03570056078104,0.06,7.5,0.33,8.0,-34.03570056078104,0.06,15.0,0.44
55,55.0,7.6598858664046485,257.25703114958793,7.6598858664046485,-12.742968850412126,0.06,7.5,0.33,8.0,-12.742968850412126,0.06,15.0,0.44
