,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,8.519975674642293,275.63030010058185,8.519975674642293,5.630300100581849,0.06,0.0,0.22,8.0,5.630300100581849,0.06,15.0,0.44
1,1.0,7.750465249114459,259.62085651449706,7.750465249114459,-10.379143485502937,0.06,0.0,0.22,8.0,-10.379143485502937,0.06,15.0,0.44
2,2.0,7.755420145088626,258.33987326515137,7.755420145088626,-11.660126734848632,0.06,0.0,0.22,8.0,-11.660126734848632,0.06,15.0,0.44
3,3.0,8.717439204656692,282.4997062621009,8.717439204656692,12.499706262100915,0.06,0.0,0.22,8.0,12.499706262100915,0.06,15.0,0.44
4,4.0,7.293823812111152,271.47189277809537,7.293823812111152,1.4718927780953663,0.06,0.0,0.22,8.0,1.4718927780953663,0.06,15.0,0.44
5,5.0,7.298556884173659,279.95393823903174,7.298556884173659,9.953938239031743,0.06,0.0,0.22,8.0,9.953938239031743,0.06,15.0,0.44
6,6.0,6.773615540295411,296.9755223970574,6.773615540295411,26.975522397057375,0.06,0.0,0.22,8.0,26.975522397057375,0.06,15.0,0.44
7,7.0,8.205986420556247,264.1315803122329,8.205986420556247,-5.868419687767073,0.06,0.0,0.22,8.0,-5.868419687767073,0.06,15.0,0.44
8,8.0,7.769737543254011,279.7719365012067,7.769737543254011,9.77193650120671,0.06,0.0,0.22,8.0,9.77193650120671,0.06,15.0,0.44
9,9.0,7.898182633297046,263.4826238659999,7.898182633297046,-6.517376134000074,0.06,0.0,0.22,8.0,-6.517376134000074,0.06,15.0,0.44
10,10.0,8.155234890048565,262.432247683452,8.155234890048565,-7.567752316547967,0.06,0.0,0.22,8.0,-7.567752316547967,0.06,15.0,0.44
11,11.0,8.693360258070072,258.7792469413058,8.693360258070072,-11.220753058694186,0.06,0.0,0.22,8.0,-11.220753058694186,0.06,15.0,0.44
12,12.0,7.590405822581994,263.06542658267585,7.590405822581994,-6.934573417324145,0.06,0.0,0.22,8.0,-6.934573417324145,0.06,15.0,0.44
13,13.0,7.6589873316528605,263.81899613993187,7.6589873316528605,-6.181003860068131,0.06,0.0,0.22,8.0,-6.181003860068131,0.06,15.0,0.44
14,14.0,7.851736855279358,278.58815922342086,7.851736855279358,8.58815922342086,0.06,0.0,0.22,8.0,8.58815922342086,0.06,15.0,0.44
15,15.0,8.728567313247948,277.97717450396976,8.728567313247948,7.9771745039697635,0.06,0.0,0.22,8.0,7.9771745039697635,0.06,15.0,0.44
16,16.0,8.383866817334138,266.69251610936516,8.383866817334138,-3.307483890634785,0.06,0.0,0.22,8.0,-3.307483890634785,0.06,15.0,0.44
17,17.0,7.689693960065459,268.8145034299529,7.689693960065459,-1.1854965700471212,0.06,0.0,0.22,8.0,-1.1854965700471212,0.06,15.0,0.44
18,18.0,8.305828008341683,263.48358995093434,8.305828008341683,-6.516410049065598,0.06,0.0,0.22,8.0,-6.516410049065598,0.06,15.0,0.44
19,19.0,7.5083667036363275,279.5942394936192,7.5083667036363275,9.594239493619227,0.06,0.0,0.22,8.0,9.594239493619227,0.06,15.0,0.44
20,20.0,7.716640941855838,256.3956632421388,7.716640941855838,-13.60433675786112,0.06,0.0,0.22,8.0,-13.60433675786112,0.06,15.0,0.44
21,21.0,7.362037482625125,285.2037470050013,7.362037482625125,15.203747005001276,0.06,0.0,0.22,8.0,15.203747005001276,0.06,15.0,0.44
22,22.0,7.6163881365902,277.76978205897575,7.6163881365902,7.76978205897575,0.06,0.0,0.22,8.0,7.76978205897575,0.06,15.0,0.44
23,23.0,7.880812264092782,267.0894997287804,7.880812264092782,-2.9105002712195756,0.06,0.0,0.22,8.0,-2.9105002712195756,0.06,15.0,0.44
24,24.0,7.592844940380024,279.0596317043444,7.592844940380024,9.059631704344383,0.06,0.0,0.22,8.0,9.059631704344383,0.06,15.0,0.44
25,25.0,8.78496462224481,241.80241808689647,8.78496462224481,-28.197581913103477,0.06,0.0,0.22,8.0,-28.197581913103477,0.06,15.0,0.44
26,26.0,7.62572580507699,263.7950592379255,7.62572580507699,-6.204940762074557,0.06,0.0,0.22,8.0,-6.204940762074557,0.06,15.0,0.44
27,27.0,7.796390610658769,274.4095032513551,7.796390610658769,4.4095032513550905,0.06,0.0,0.22,8.0,4.4095032513550905,0.06,15.0,0.44
28,28.0,8.297222119373558,266.01499296677025,8.297222119373558,-3.985007033229749,0.06,0.0,0.22,8.0,-3.985007033229749,0.06,15.0,0.44
29,29.0,8.118359737724782,261.6410741774064,8.118359737724782,-8.35892582259362,0.06,0.0,0.22,8.0,-8.35892582259362,0.06,15.0,0.44
30,30.0,8.401138385587775,260.6321080767392,8.401138385587775,-9.3678919232608,0.06,0.0,0.22,8.0,-9.3678919232608,0.06,15.0,0.44
31,31.0,8.670891366334015,254.75132654144636,8.670891366334015,-15.24867345855364,0.06,0.0,0.22,8.0,-15.24867345855364,0.06,15.0,0.44
32,32.0,7.872640173083475,274.7061936076121,7.872640173083475,4.706193607612079,0.06,0.0,0.22,8.0,4.706193607612079,0.06,15.0,0.44
33,33.0,8.12868453964687,259.62452623179485,8.12868453964687,-10.375473768205211,0.06,0.0,0.22,8.0,-10.375473768205211,0.06,15.0,0.44
34,34.0,8.213735723363913,270.3747016351313,8.213735723363913,0.3747016351313164,0.06,0.0,0.22,8.0,0.3747016351313164,0.06,15.0,0.44
35,35.0,7.573696433260325,269.41851804684256,7.573696433260325,-0.5814819531574358,0.06,0.0,0.22,8.0,-0.5814819531574358,0.06,15.0,0.44
36,36.0,8.521740987585773,287.0071579856224,8.521740987585773,17.007157985622428,0.06,0.0,0.22,8.0,17.007157985622428,0.06,15.0,0.44
37,37.0,7.287363975087394,262.76227377003477,7.287363975087394,-7.237726229965233,0.06,0.0,0.22,8.0,-7.237726229965233,0.06,15.0,0.44
38,38.0,8.743258086393526,277.1237298383659,8.743258086393526,7.123729838365875,0.06,0.0,0.22,8.0,7.123729838365875,0.06,15.0,0.44
39,39.0,7.4821688163115185,242.27512001420584,7.4821688163115185,-27.724879985794132,0.06,0.0,0.22,8.0,-27.724879985794132,0.06,15.0,0.44
40,40.0,8.469462389418828,287.8542599775685,8.469462389418828,17.854259977568518,0.06,0.0,0.22,8.0,17.854259977568518,0.06,15.0,0.44
41,41.0,8.248781684469249,271.49164749887797,8.248781684469249,1.4916474988779669,0.06,0.0,0.22,8.0,1.4916474988779669,0.06,15.0,0.44
42,42.0,8.426001627637143,257.99832214007483,8.426001627637143,-12.001677859925167,0.06,0.0,0.22,8.0,-12.001677859925167,0.06,15.0,0.44
43,43.0,8.228382311807483,274.15168573916503,8.228382311807483,4.151685739165032,0.06,0.0,0.22,8.0,4.151685739165032,0.06,15.0,0.44
44,44.0,8.180744500581008,281.4365508863942,8.180744500581008,11.436550886394173,0.06,0.0,0.22,8.0,11.436550886394173,0.06,15.0,0.44
45,45.0,7.135725454914722,260.56200788576086,7.135725454914722,-9.437992114239137,0.06,0.0,0.22,8.0,-9.437992114239137,0.06,15.0,0.44
46,46.0,8.159440042273308,262.5552505941698,8.159440042273308,-7.44474940583018,0.06,0.0,0.22,8.0,-7.44474940583018,0.06,15.0,0.44
47,47.0,8.699369043832878,273.2053550156458,8.699369043832878,3.2053550156458073,0.06,0.0,0.22,8.0,3.2053550156458073,0.06,15.0,0.44
48,48.0,7.8928792167605115,266.2932234573154,7.8928792167605115,-3.7067765426845654,0.06,0.0,0.22,8.0,-3.7067765426845654,0.06,15.0,0.44
49,49.0,8.096410464927382,276.1993053763026,8.096410464927382,6.199305376302618,0.06,0.0,0.22,8.0,6.199305376302618,0.06,15.0,0.44
50,50.0,8.106802223420889,254.17628184408713,8.106802223420889,-15.823718155912843,0.06,0.0,0.22,8.0,-15.823718155912843,0.06,15.0,0.44
51,51.0,8.642047329703573,260.48675842276253,8.642047329703573,-9.513241577237523,0.06,0.0,0.22,8.0,-9.513241577237523,0.06,15.0,0.44
52,52.0,8.21197787668593,273.5557192323453,8.21197787668593,3.555719232345325,0.06,0.0,0.22,8.0,3.555719232345325,0.06,15.0,0.44
53,53.0,7.939852179798361,298.35936295767334,7.939852179798361,28.35936295767334,0.06,0.0,0.22,8.0,28.35936295767334,0.06,15.0,0.44
54,54.0,7.910981642448241,306.484254657895,7.910981642448241,36.48425465789501,0.06,0.0,0.22,8.0,36.48425465789501,0.06,15.0,0.44
55,55.0,7.361773110480227,279.30566822111183,7.361773110480227,9.30566822111183,0.06,0.0,0.22,8.0,9.30566822111183,0.06,15.0,0.44
56,56.0,8.376981972813176,288.5267910240684,8.376981972813176,18.526791024068416,0.06,0.0,0.22,8.0,18.526791024068416,0.06,15.0,0.44
57,57.0,7.572843878150859,281.9920525609785,7.572843878150859,11.992052560978493,0.06,0.0,0.22,8.0,11.992052560978493,0.06,15.0,0.44
58,58.0,8.30533299445844,265.4998626533123,8.30533299445844,-4.500137346687779,0.06,0.0,0.22,8.0,-4.500137346687779,0.06,15.0,0.44
59,59.0,8.1801096778728,273.2459718334449,8.1801096778728,3.245971833444912,0.06,0.0,0.22,8.0,3.245971833444912,0.06,15.0,0.44
60,60.0,8.022468312047888,310.19478461275116,8.022468312047888,40.194784612751164,0.06,0.0,0.22,8.0,40.194784612751164,0.06,15.0,0.44
61,61.0,7.913278433728059,276.66115535882415,7.913278433728059,6.661155358824146,0.06,0.0,0.22,8.0,6.661155358824146,0.06,15.0,0.44
62,62.0,7.699828929566358,263.1115983271716,7.699828929566358,-6.888401672828422,0.06,0.0,0.22,8.0,-6.888401672828422,0.06,15.0,0.44
63,63.0,7.133534095314178,260.54403608524547,7.133534095314178,-9.455963914754534,0.06,0.0,0.22,8.0,-9.455963914754534,0.06,15.0,0.44
64,64.0,7.4962587757423185,252.8407600556331,7.4962587757423185,-17.159239944366846,0.06,0.0,0.22,8.0,-17.159239944366846,0.06,15.0,0.44
65,65.0,8.085332449272602,268.8915755385174,8.085332449272602,-1.1084244614826275,0.06,0.0,0.22,8.0,-1.1084244614826275,0.06,15.0,0.44
66,66.0,8.629752743454533,271.9687491785331,8.629752743454533,1.9687491785330735,0.06,0.0,0.22,8.0,1.9687491785330735,0.06,15.0,0.44
67,67.0,8.654679027062041,250.25694285634577,8.654679027062041,-19.743057143654255,0.06,0.0,0.22,8.0,-19.743057143654255,0.06,15.0,0.44
68,68.0,8.13803886623497,269.65358915174545,8.13803886623497,-0.3464108482545498,0.06,0.0,0.22,8.0,-0.3464108482545498,0.06,15.0,0.44
69,69.0,7.937297370587554,278.22452425134674,7.937297370587554,8.224524251346736,0.06,0.0,0.22,8.0,8.224524251346736,0.06,15.0,0.44
70,70.0,7.814547296665694,249.34474520722162,7.814547296665694,-20.65525479277835,0.06,0.0,0.22,8.0,-20.65525479277835,0.06,15.0,0.44
