,Time,FreestreamWindSpeed,FreestreamWindDir,TurbineWindSpeeds_0,TurbineWindDirs_0,TurbineTurbIntens_0,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1,YawAngles_1,AxIndFactors_1
0,0.0,11.301931761245681,292.7126955855316,11.301931761245681,22.712695585531606,0.06,7.5,0.44,8.0,22.712695585531606,0.06,7.5,0.33
1,1.0,12.577507510108582,308.9185911605204,12.577507510108582,38.91859116052041,0.06,7.5,0.44,8.0,38.91859116052041,0.06,7.5,0.33
2,2.0,12.518022305215263,290.58405437701134,12.518022305215263,20.58405437701134,0.06,7.5,0.44,8.0,20.58405437701134,0.06,7.5,0.33
3,3.0,12.184648188893991,264.9494575585619,12.184648188893991,-5.050542441438097,0.06,7.5,0.44,8.0,-5.050542441438097,0.06,7.5,0.33
4,4.0,12.117383541928628,308.5958095196572,12.117383541928628,38.59580951965722,0.06,7.5,0.44,8.0,38.59580951965722,0.06,7.5,0.33
5,5.0,13.383479033089928,287.30876961792706,13.383479033089928,17.308769617927055,0.06,7.5,0.44,8.0,17.308769617927055,0.06,7.5,0.33
6,6.0,12.656517498203694,277.6442483459856,12.656517498203694,7.644248345985602,0.06,7.5,0.44,8.0,7.644248345985602,0.06,7.5,0.33
7,7.0,12.677025616646393,290.93548567328656,12.677025616646393,20.935485673286564,0.06,7.5,0.44,8.0,20.935485673286564,0.06,7.5,0.33
8,8.0,12.485347149310874,271.7323972314641,12.485347149310874,1.7323972314641196,0.06,7.5,0.44,8.0,1.7323972314641196,0.06,7.5,0.33
9,9.0,12.423348562930903,268.300360552171,12.423348562930903,-1.6996394478289858,0.06,7.5,0.44,8.0,-1.6996394478289858,0.06,7.5,0.33
10,10.0,11.004669951167289,273.85855689675014,11.004669951167289,3.8585568967501445,0.06,7.5,0.44,8.0,3.8585568967501445,0.06,7.5,0.33
11,11.0,12.278440912578638,248.26496323081324,12.278440912578638,-21.735036769186763,0.06,7.5,0.44,8.0,-21.735036769186763,0.06,7.5,0.33
12,12.0,13.525475017263123,298.30485154741586,13.525475017263123,28.304851547415865,0.06,7.5,0.44,8.0,28.304851547415865,0.06,7.5,0.33
13,13.0,12.425285552090681,288.54502271122954,12.425285552090681,18.545022711229535,0.06,7.5,0.44,8.0,18.545022711229535,0.06,7.5,0.33
14,14.0,11.95934687386507,294.6099820471433,11.95934687386507,24.60998204714332,0.06,7.5,0.44,8.0,24.60998204714332,0.06,7.5,0.33
15,15.0,12.932370766372067,265.9266903843619,12.932370766372067,-4.073309615638095,0.06,7.5,0.44,8.0,-4.073309615638095,0.06,7.5,0.33
16,16.0,12.94923952393922,301.13060605443565,12.94923952393922,31.130606054435646,0.06,7.5,0.44,8.0,31.130606054435646,0.06,7.5,0.33
17,17.0,12.479576419422074,296.09932923454016,12.479576419422074,26.099329234540164,0.06,7.5,0.44,8.0,26.099329234540164,0.06,7.5,0.33
18,18.0,11.764573447107308,246.07353226240667,11.764573447107308,-23.926467737593384,0.06,7.5,0.44,8.0,-23.926467737593384,0.06,7.5,0.33
19,19.0,12.174968901031374,323.3832024192302,12.174968901031374,53.3832024192302,0.06,7.5,0.44,8.0,53.3832024192302,0.06,7.5,0.33
20,20.0,11.486810546249709,276.5583749674202,11.486810546249709,6.558374967420207,0.06,7.5,0.44,8.0,6.558374967420207,0.06,7.5,0.33
21,21.0,11.482260235065095,295.7968310596279,11.482260235065095,25.79683105962789,0.06,7.5,0.44,8.0,25.79683105962789,0.06,7.5,0.33
22,22.0,12.277025684444459,281.8340403759582,12.277025684444459,11.834040375958182,0.06,7.5,0.44,8.0,11.834040375958182,0.06,7.5,0.33
23,23.0,10.994769028007068,261.0419107339962,10.994769028007068,-8.958089266003753,0.06,7.5,0.44,8.0,-8.958089266003753,0.06,7.5,0.33
24,24.0,11.173483891021268,294.1797164013974,11.173483891021268,24.1797164013974,0.06,7.5,0.44,8.0,24.1797164013974,0.06,7.5,0.33
25,25.0,11.929030233933334,287.35751063747233,11.929030233933334,17.35751063747233,0.06,7.5,0.44,8.0,17.35751063747233,0.06,7.5,0.33
26,26.0,12.62075930562212,313.91100855351095,12.62075930562212,43.91100855351095,0.06,7.5,0.44,8.0,43.91100855351095,0.06,7.5,0.33
27,27.0,11.975580581514064,304.77716415069165,11.975580581514064,34.77716415069165,0.06,7.5,0.44,8.0,34.77716415069165,0.06,7.5,0.33
28,28.0,12.866861783515954,296.31385673896364,12.866861783515954,26.313856738963636,0.06,7.5,0.44,8.0,26.313856738963636,0.06,7.5,0.33
29,29.0,12.226209543061545,297.1273168092407,12.226209543061545,27.12731680924071,0.06,7.5,0.44,8.0,27.12731680924071,0.06,7.5,0.33
30,30.0,11.555263624986544,320.149746211789,11.555263624986544,50.14974621178902,0.06,7.5,0.44,8.0,50.14974621178902,0.06,7.5,0.33
31,31.0,11.822272177497798,268.8878753192519,11.822272177497798,-1.1121246807481384,0.06,7.5,0.44,8.0,-1.1121246807481384,0.06,7.5,0.33
32,32.0,11.953725693625897,285.8701395233198,11.953725693625897,15.870139523319779,0.06,7.5,0.44,8.0,15.870139523319779,0.06,7.5,0.33
33,33.0,11.937563946484996,301.92812928903714,11.937563946484996,31.928129289037145,0.06,7.5,0.44,8.0,31.928129289037145,0.06,7.5,0.33
34,34.0,12.770095774883615,289.13349485527687,12.770095774883615,19.133494855276865,0.06,7.5,0.44,8.0,19.133494855276865,0.06,7.5,0.33
35,35.0,13.113733997443706,276.94998547583276,13.113733997443706,6.9499854758327615,0.06,7.5,0.44,8.0,6.9499854758327615,0.06,7.5,0.33
36,36.0,11.9857717576053,296.1122733666021,11.9857717576053,26.112273366602096,0.06,7.5,0.44,8.0,26.112273366602096,0.06,7.5,0.33
37,37.0,11.258175480436435,300.38504412723995,11.258175480436435,30.38504412723995,0.06,7.5,0.44,8.0,30.38504412723995,0.06,7.5,0.33
38,38.0,13.683120399422494,298.8523777747665,13.683120399422494,28.852377774766524,0.06,7.5,0.44,8.0,28.852377774766524,0.06,7.5,0.33
39,39.0,12.255866607330255,313.6683033981218,12.255866607330255,43.66830339812179,0.06,7.5,0.44,8.0,43.66830339812179,0.06,7.5,0.33
40,40.0,11.221478470572254,278.0357565549724,11.221478470572254,8.035756554972409,0.06,7.5,0.44,8.0,8.035756554972409,0.06,7.5,0.33
41,41.0,12.88682842870445,298.33858943852647,12.88682842870445,28.33858943852647,0.06,7.5,0.44,8.0,28.33858943852647,0.06,7.5,0.33
42,42.0,11.72828004484014,300.89527884126267,11.72828004484014,30.895278841262666,0.06,7.5,0.44,8.0,30.895278841262666,0.06,7.5,0.33
43,43.0,11.600655869012446,294.16076101767,11.600655869012446,24.160761017669984,0.06,7.5,0.44,8.0,24.160761017669984,0.06,7.5,0.33
44,44.0,12.761479741069857,294.480365080182,12.761479741069857,24.480365080182025,0.06,7.5,0.44,8.0,24.480365080182025,0.06,7.5,0.33
